"name","type","lat","lon","color"
"Jaya Prakash Nagar","metro",12.907475,77.573128,"#009933"
"Banashankari","metro",12.915221,77.573598,"#009933"
"Rashtreeya Vidyalaya Road","metro",12.921581,77.580202,"#009933"
"Jayanagar","metro",12.929507,77.580144,"#009933"
"South End Circle","metro",12.938257,77.580056,"#009933"
"Lalbagh","metro",12.946526,77.580016,"#009933"
"National College","metro",12.950527,77.57369,"#009933"
"Krishna Rajendra Market","metro",12.960879,77.574658,"#009933"
"Chickpete","metro",12.966897,77.574557,"#009933"
"S. R. Nagar","metro",17.441707,78.441608,"red"
"HITEC City","metro",17.449005,78.383138,"blue"
"Nagole","metro",17.390768,78.558822,"blue"
"Ameerpet (Red Line)","metro",17.435721,78.444793,"red"
"Yusufguda","metro",17.435113,78.427322,"blue"
"Ameerpet (Blue Line)","metro",17.435286,78.444783,"blue"
"Kadavanthra","metro",9.966677,76.298204,"#7FFFD4"
"Elamkulam","metro",9.967267,76.308436,"#7FFFD4"
"Thykoodam","metro",9.96011,76.323729,"#7FFFD4"
"Ernakulam South","metro",9.968617,76.289458,"#7FFFD4"
"Jubilee Hills Checkpost","metro",17.428197,78.413714,"blue"
"Kukatpally","metro",17.485088,78.411638,"red"
"Uppal","metro",17.399938,78.560159,"blue"
"Stadium","metro",17.4074,78.554253,"blue"
"NGRI","metro",17.414826,78.546335,"blue"
"Habsiguda","metro",17.42018,78.540548,"blue"
"Tarnaka","metro",17.428296,78.528441,"blue"
"Mettuguda","metro",17.435521,78.519575,"blue"
"Secunderabad East","metro",17.435718,78.505462,"blue"
"Parade Grounds (Blue Line)","metro",17.443194,78.497469,"blue"
"Paradise","metro",17.443467,78.486244,"blue"
"Rasoolpura","metro",17.443612,78.476405,"blue"
"Prakash Nagar","metro",17.444889,78.465875,"blue"
"Madhura Nagar","metro",17.436965,78.439099,"blue"
"Road No 5 Jubilee Hills","metro",17.430049,78.423207,"blue"
"Peddamma Gudi","metro",17.430651,78.408372,"blue"
"Raidurg","metro",17.44218,78.377182,"blue"
"Parade Grounds (Green Line)","metro",17.444478,78.497584,"green"
"JBS","metro",17.448818,78.496484,"green"
"RTC Cross Roads","metro",17.407032,78.496802,"green"
"Mahatma Gandhi Bus Station (Red Line)","metro",17.379857,78.486202,"red"
"Mahatma Gandhi Bus Station (Green Line)","metro",17.379695,78.485863,"green"
"Malakpet","metro",17.377189,78.493936,"red"
"Musarambagh","metro",17.371073,78.511948,"red"
"Sultan Bazar","metro",17.384447,78.484024,"green"
"Narayanaguda","metro",17.394366,78.489958,"green"
"Chikkadpally","metro",17.400363,78.494896,"green"
"Musheerabad","metro",17.417874,78.499505,"green"
"Gandhi Hospital","metro",17.425515,78.501956,"green"
"Secunderabad West","metro",17.433803,78.499518,"green"
"Kengeri","metro",12.907928,77.476575,"#e542de"
"Jayadeva Interchange (u/c)","metro",12.916733,77.599976,"yellow"
"Pettah","metro",9.952496,76.330185,"#7FFFD4"
"Shivajinagar","metro",18.530475,73.848571,"purple"
"Phugewadi","metro",18.591106,73.831147,"purple"
"Balewadi Stadium","metro",18.579709,73.761542,""
"Doehler India","metro",18.588102,73.702895,""
"Range Hills","metro",18.550287,73.845807,"purple"
"Megapolis Circle","metro",18.57922,73.688,""
"Dapodi","metro",18.583765,73.833766,"purple"
"PMC Bhavan","metro",18.522744,73.85335,"aqua"
"Infosys","metro",18.594195,73.709223,""
"Ruby Hall Clinic","metro",18.532718,73.877749,"aqua"
"District Court (Aqua Line)","metro",18.52672,73.857748,"aqua"
"Quadron","metro",18.584018,73.694818,""
"Sant Tukaram Nagar","metro",18.614525,73.815746,"purple"
"Agriculture College","metro",18.533006,73.841487,""
"Wipro","metro",18.59659,73.717161,""
"Kasarwadi","metro",18.59962,73.827264,"purple"
"RBI","metro",18.536371,73.836692,""
"Wakad Chowk","metro",18.590299,73.757559,""
"Nashik Phata","metro",18.609303,73.820097,"purple"
"Kothrud Bus Depot","metro",18.508126,73.792952,""
"Swargate","metro",18.499745,73.85746,"purple"
"Bopodi","metro",18.569661,73.838103,"purple"
"Vadakkekotta","metro",9.95281,76.339488,"#7FFFD4"
"InfoPark I Station","metro",10.008351,76.362724,""
"SN Junction","metro",9.954677,76.346035,"#7FFFD4"
"Kapurbawdi Station","metro",19.224143,72.977424,"green"
"Sir Theagaraya College","metro",13.115754,80.284744,"#3281c4"
"Tondiarpet","metro",13.124528,80.288856,"#3281c4"
"Wimco Nagar","metro",13.17929,80.307344,"#3281c4"
"Thiruvottriyur","metro",13.171803,80.305269,"#3281c4"
"Kaladipet","metro",13.150667,80.299393,"#3281c4"
"சுங்கச்சாவடி","metro",13.143134,80.296329,"#3281c4"
"புது வண்ணாரப்பேட்டை","metro",13.134519,80.293001,"#3281c4"
"Gaimukh Station","metro",19.284435,72.946808,"green"
"Gowniwada Station","metro",19.276747,72.958227,"green"
"Lokmanya Nagar Bus Depot","metro",19.208858,72.95146,""
"Azad Nagar Bus Stop","metro",19.241037,72.980999,""
"Jnanabharathi","metro",12.935436,77.512406,"#e542de"
"Pantharapalya - Nayandahalli","metro",12.941671,77.525117,"#e542de"
"Kengeri Bus Terminal","metro",12.914689,77.487856,"#e542de"
"Rajarajeshwari Nagar","metro",12.9366,77.519679,"#e542de"
"Pattanagere","metro",12.92425,77.498351,"#e542de"
"Subhash Chandra Bose Ground","metro",19.294238,72.843129,""
"Airport Colony Station","metro",19.105818,72.854017,""
"Anik Nagar Bus Depot Station","metro",19.045827,72.878634,"green"
"Madhapur","metro",17.437264,78.400426,"blue"
"Manpada","metro",19.235478,72.971299,""
"Thiruvottiyur Theradi","metro",13.160215,80.302448,"#3281c4"
"Vanaz","metro",18.507185,73.805195,"aqua"
"Anandnagar","metro",18.509572,73.814075,"aqua"
"Paud Phata","metro",18.508885,73.822144,"aqua"
"SNDT College","metro",18.507357,73.828782,"aqua"
"Garware College","metro",18.511989,73.83805,"aqua"
"Dahisar (East) [Line 7]","metro",19.250698,72.866666,"red"
"Dahisar (East) [Line 2]","metro",19.251733,72.867332,"yellow"
"Aarey","metro",19.169324,72.858792,"red"
"Dindoshi","metro",19.179758,72.858298,"red"
"Kurar","metro",19.1873,72.858455,"red"
"Akurli","metro",19.198159,72.86049,"red"
"Poisar","metro",19.203517,72.863104,"red"
"Magathane","metro",19.216797,72.866801,"red"
"Devipada","metro",19.224036,72.864325,"red"
"Rashtriya Udyan","metro",19.234614,72.863137,"red"
"Ovaripada","metro",19.243149,72.864138,"red"
"Wimco Nagar Depot","metro",13.183971,80.308994,"#3281c4"
"Challaghatta","metro",12.897354,77.461288,"#e542de"
"Silk Institute","metro",12.86173,77.529955,"#009933"
"Thalaghattapura","metro",12.87141,77.538396,"#009933"
"Vajarahalli","metro",12.877437,77.544741,"#009933"
"Doddakallasandra","metro",12.884643,77.552755,"#009933"
"Konanakunte Cross","metro",12.888967,77.562667,"#009933"
"Pimpri Chinchwad Municipal Corporation (PCMC)","metro",18.629319,73.803286,"purple"
"New Market","metro",17.373427,78.503178,"red"
"Shahid Bhagat Singh Garden","metro",19.294812,72.849362,""
"Gundavali","metro",19.114513,72.855156,"red"
"Mogra","metro",19.128436,72.855456,"red"
"Jogeshwari (East)","metro",19.142945,72.855185,"red"
"Goregaon (East)","metro",19.152449,72.856597,"red"
"Andheri (West)","metro",19.129134,72.831431,"yellow"
"Lower Oshiwara","metro",19.140698,72.831714,"yellow"
"Oshiwara","metro",19.146035,72.833952,"yellow"
"Goregaon (West)","metro",19.153024,72.835666,"yellow"
"Lower Malad","metro",19.173098,72.83648,"yellow"
"Malad (West)","metro",19.185285,72.835861,"yellow"
"Valnai-Meeth Chowky","metro",19.196829,72.833775,"yellow"
"Shivaji Nagar","metro",18.532172,73.84966,"purple"
"District Court (Purple Line)","metro",18.526786,73.856899,"purple"
"Chhatrapati Sambhaji Udyan","metro",18.520081,73.847383,"aqua"
"Deccan Gymkhana","metro",18.516448,73.844446,"aqua"
"CBD Belapur","metro",19.0206,73.040266,"#77248B"
"RBI Colony","metro",19.022985,73.047943,"#77248B"
"Biocon Hebbagodi","metro",12.829033,77.681374,"yellow"
"Thrippunithura Terminal","metro",9.950573,76.351724,"#7FFFD4"
"Bund Garden","metro",18.540593,73.883439,"aqua"
"Yerwada","metro",18.545317,73.886688,"aqua"
"Kalyani Nagar","metro",18.544481,73.905698,"aqua"
"Ramwadi","metro",18.557028,73.908563,"aqua"
"JNTU College","metro",17.498656,78.388866,"red"
"KPHB Colony","metro",17.493803,78.401765,"red"
"Miyapur","metro",17.496539,78.373025,"red"
"Victoria Memorial","metro",17.361854,78.54393,"red"
"Dilsukh Nagar","metro",17.368552,78.525717,"red"
"L. B. Nagar Metro Station","metro",17.349829,78.547914,"red"
"Osmania Medical College","metro",17.382347,78.481133,"red"
"Nampally","metro",17.392399,78.470148,"red"
"Moosapet","metro",17.47197,78.426036,"red"
"Lakdi-ka-pul","metro",17.403906,78.465025,"red"
"Khairatabad","metro",17.411532,78.460846,"red"
"Irrum Manzil","metro",17.420556,78.456101,"red"
"Gandhi Bhavan","metro",17.386107,78.4731,"red"
"ESI Hospital","metro",17.447404,78.43835,"red"
"Erragadda","metro",17.457328,78.433462,"red"
"Chaitanyapuri","metro",17.368286,78.535941,"red"
"Bharat Nagar","metro",17.46416,78.430005,"red"
"Balanagar","metro",17.476822,78.421965,"red"
"Assembly","metro",17.398109,78.470818,"red"
"Panjagutta","metro",17.428631,78.451132,"red"
"Nagasandra","metro",13.047954,77.500142,"#009933"
"Yeshwantpur","metro",13.023268,77.549875,"#009933"
"Kadugodi Tree Park","metro",12.98565,77.747012,"#e542de"
"Bandra Colony","metro",19.069963,72.84936,"aqua"
"Santacruz","metro",19.079289,72.847118,"aqua"
"CSMI Airport Domestic T1","metro",19.093899,72.853577,"aqua"
"Sahar Road","metro",19.102196,72.865236,"aqua"
"Bangur Nagar","metro",19.162472,72.834871,"yellow"
"Kasba Peth कसबा पेठ","metro",18.521375,73.859623,"purple"
"Regional Transport Office,Meenambakkam","metro",12.999319,80.200989,""
"miyapur metro","metro",17.496382,78.372749,"red"
"Kukatpally Metro","metro",17.485205,78.411579,"red"
"Balanagar Metro","metro",17.476869,78.421908,"red"
"Dadar","metro",19.023624,72.839221,"aqua"
"Shitala Devi Mandir","metro",19.038464,72.841965,"aqua"
"Dharavi","metro",19.046261,72.849741,"aqua"
"Acharya Atre Chowk","metro",18.99782,72.81772,"aqua"
"Worli","metro",19.008606,72.819274,"aqua"
"Siddhivinayak Temple","metro",19.015894,72.83092,"aqua"
"Jagannath Shankar Sheth Metro","metro",18.969992,72.821179,"aqua"
"Mahalaxmi","metro",18.979467,72.825401,"aqua"
"Science Centre","metro",18.990895,72.821352,"aqua"
"Cuffe Parade","metro",18.913569,72.820715,"aqua"
"Vidhan Bhavan","metro",18.924781,72.825493,"aqua"
"Churchgate","metro",18.931495,72.826939,"aqua"
"Hutatma Chowk","metro",18.934185,72.832504,"aqua"
"Chhatrapati Shivaji Maharaj Terminus","metro",18.940833,72.831861,"aqua"
"Kalbadevi","metro",18.946329,72.827193,"aqua"
"Girgaon","metro",18.952102,72.822206,"aqua"
"Grant Road","metro",18.963218,72.818044,"aqua"
"Mandale","metro",19.049592,72.938661,"yellow"
"Shivaji Chowk (Chembur)","metro",19.047938,72.906981,"yellow"
"Deonar","metro",19.044833,72.917495,"yellow"
